Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
E21	268	0	0	0	0	0	0	0	239	0	89.18	nan	268	0	134	0	134	0	220	0	82.09	nan	232	0	7	0	2.61	nan	8	0	7	0	268
E22	448	0	0	0	0	0	0	0	395	0	88.17	nan	448	0	224	0	224	0	350	0	78.12	nan	366	0	29	0	6.47	nan	6	0	3	0	448
E23	1012	0	0	0	0	0	0	0	884	0	87.35	nan	1012	0	506	0	506	0	824	0	81.42	nan	874	0	10	0	0.99	nan	32	0	32	0	1012
E24	290560	0	0	0	0	0	0	0	277592	0	95.54	nan	290560	0	145280	0	145280	0	256078	0	88.13	nan	271854	0	5738	0	1.97	nan	4820	0	3536	0	290560
E25	780	0	0	0	0	0	0	0	656	0	84.1	nan	780	0	390	0	390	0	608	0	77.95	nan	640	0	16	0	2.05	nan	4	0	3	0	780
E26	856	0	0	0	0	0	0	0	726	0	84.81	nan	856	0	428	0	428	0	640	0	74.77	nan	708	0	18	0	2.1	nan	52	0	45	0	856
E27	542	0	0	0	0	0	0	0	473	0	87.27	nan	542	0	271	0	271	0	448	0	82.66	nan	468	0	5	0	0.92	nan	4	0	4	0	542
E28	574	0	0	0	0	0	0	0	527	0	91.81	nan	574	0	287	0	287	0	490	0	85.37	nan	522	0	5	0	0.87	nan	6	0	1	0	574
E29	158	0	0	0	0	0	0	0	112	0	70.89	nan	158	0	79	0	79	0	104	0	65.82	nan	104	0	8	0	5.06	nan	0	0	0	0	158
E3	808	0	0	0	0	0	0	0	706	0	87.38	nan	808	0	404	0	404	0	630	0	77.97	nan	688	0	18	0	2.23	nan	34	0	17	0	808
E30	182	0	0	0	0	0	0	0	139	0	76.37	nan	182	0	91	0	91	0	132	0	72.53	nan	134	0	5	0	2.75	nan	0	0	0	0	182
E31	2148	0	0	0	0	0	0	0	1714	0	79.8	nan	2148	0	1074	0	1074	0	1596	0	74.3	nan	1664	0	50	0	2.33	nan	6	0	4	0	2148
E32	850	0	0	0	0	0	0	0	730	0	85.88	nan	850	0	425	0	425	0	680	0	80.0	nan	696	0	34	0	4.0	nan	6	0	3	0	850
E33	2002	0	0	0	0	0	0	0	1856	0	92.71	nan	2002	0	1001	0	1001	0	1464	0	73.13	nan	1832	0	24	0	1.2	nan	326	0	196	0	2002
E34	936	0	0	0	0	0	0	0	812	0	86.75	nan	936	0	468	0	468	0	756	0	80.77	nan	774	0	38	0	4.06	nan	0	0	0	0	936
E35	598	0	0	0	0	0	0	0	482	0	80.6	nan	598	0	299	0	299	0	458	0	76.59	nan	468	0	14	0	2.34	nan	0	0	0	0	598
E36	208	0	0	0	0	0	0	0	161	0	77.4	nan	208	0	104	0	104	0	134	0	64.42	nan	154	0	7	0	3.37	nan	12	0	6	0	208
E37	346	0	0	0	0	0	0	0	257	0	74.28	nan	346	0	173	0	173	0	242	0	69.94	nan	250	0	7	0	2.02	nan	2	0	2	0	346
E38	252	0	0	0	0	0	0	0	227	0	90.08	nan	252	0	126	0	126	0	218	0	86.51	nan	222	0	5	0	1.98	nan	0	0	0	0	252
E39	470	0	0	0	0	0	0	0	382	0	81.28	nan	470	0	235	0	235	0	372	0	79.15	nan	374	0	8	0	1.7	nan	0	0	0	0	470
E4	384	0	0	0	0	0	0	0	323	0	84.11	nan	384	0	192	0	192	0	314	0	81.77	nan	320	0	3	0	0.78	nan	2	0	2	0	384
E40	804	0	0	0	0	0	0	0	721	0	89.68	nan	804	0	402	0	402	0	660	0	82.09	nan	678	0	43	0	5.35	nan	6	0	2	0	804
E41	704	0	0	0	0	0	0	0	590	0	83.81	nan	704	0	352	0	352	0	542	0	76.99	nan	574	0	16	0	2.27	nan	16	0	9	0	704
E42	1292	0	0	0	0	0	0	0	1137	0	88.0	nan	1292	0	646	0	646	0	1082	0	83.75	nan	1102	0	35	0	2.71	nan	8	0	1	0	1292
E43	1346	0	0	0	0	0	0	0	1049	0	77.93	nan	1346	0	673	0	673	0	998	0	74.15	nan	1026	0	23	0	1.71	nan	10	0	3	0	1346
E44	966	0	0	0	0	0	0	0	849	0	87.89	nan	966	0	483	0	483	0	806	0	83.44	nan	826	0	23	0	2.38	nan	4	0	2	0	966
E45	772	0	0	0	0	0	0	0	696	0	90.16	nan	772	0	386	0	386	0	630	0	81.61	nan	664	0	32	0	4.15	nan	12	0	2	0	772
E46	250	0	0	0	0	0	0	0	200	0	80.0	nan	250	0	125	0	125	0	182	0	72.8	nan	192	0	8	0	3.2	nan	10	0	0	0	250
E47	1014	0	0	0	0	0	0	0	893	0	88.07	nan	1014	0	507	0	507	0	848	0	83.63	nan	874	0	19	0	1.87	nan	18	0	15	0	1014
E48	398	0	0	0	0	0	0	0	318	0	79.9	nan	398	0	199	0	199	0	284	0	71.36	nan	306	0	12	0	3.02	nan	10	0	2	0	398
