,sampID,elongata_L,elongata_H,sublineata_L,sublineata_H,carinulata_L,carinulata_H,carinata_L,carinata_H,elongata,sublineata,carinulata,carinata,popID
235,F90,0,0.001,0,0.002,0,0.001,0.997,1,0,0,0,0.999,28NM
236,F91_2019,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,28NM
237,F92,0,0.001,0.38,0.511,0,0.001,0.489,0.62,0,0.445,0,0.555,28NM
238,F93,0,0.002,0.984,1,0,0.001,0,0.015,0,0.998,0,0.002,26NM
239,F94,0.002,0.051,0.727,0.838,0,0.001,0.13,0.247,0.028,0.785,0,0.187,26NM
240,F95,0,0.001,0.844,0.928,0,0.001,0.071,0.156,0,0.888,0,0.111,26NM
241,F96,0,0.003,0.619,0.739,0,0.001,0.26,0.381,0.001,0.68,0,0.32,26NM
242,G01_rep,0.078,0.129,0,0.001,0,0.001,0.87,0.922,0.103,0,0,0.897,15TX
243,G10,0.088,0.133,0.866,0.912,0,0.001,0,0.003,0.11,0.89,0,0.001,26NM
244,G11,0,0.001,0.818,0.912,0,0.001,0.088,0.182,0,0.867,0,0.133,26NM
245,G12,0.021,0.05,0.949,0.978,0,0.001,0,0.001,0.035,0.965,0,0,26NM
246,G13,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,16TX
247,G14,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,16TX
248,G15,0.996,1,0,0.002,0,0.001,0,0.001,1,0,0,0,16TX
249,G16,0.985,1,0,0.009,0,0.002,0,0.005,0.998,0.001,0,0.001,16TX
250,G17_rep,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,28NM
251,G18_rep,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,28NM
252,G19,0,0.001,0.572,0.704,0,0.001,0.296,0.428,0,0.639,0,0.36,27NM
253,G2,0.018,0.051,0.111,0.202,0,0.001,0.762,0.856,0.034,0.155,0,0.811,15TX
254,G20,0,0.001,0.998,1,0,0.001,0,0.001,0,1,0,0,27NM
255,G21,0.025,0.055,0.944,0.975,0,0.001,0,0.002,0.039,0.96,0,0,27NM
