sample	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
I08	144090	130586	0.906	64836	8368	0	5136	0	0
I09	407934	365906	0.897	181782	21328	0	20700	0	0
I10	107232	95703	0.892	47699	6122	0	5407	0	0
I11	86044	78173	0.909	38887	4355	0	3516	0	0
I12	269614	243635	0.904	121131	13432	0	12547	0	0
I13	604286	470534	0.779	234492	26005	0	107747	0	0
I14	397824	332743	0.836	165260	18774	0	46307	0	0
I15	411968	372218	0.904	185178	20892	0	18858	0	0
I16	338910	297805	0.879	148007	17356	0	23749	0	0
I17	210170	175851	0.837	87457	11403	0	22916	0	0
I18	465836	413370	0.887	205431	22525	0	29941	0	0
I19	348376	311655	0.895	154843	15738	0	20983	0	0
I20	688704	560328	0.814	278556	31568	0	96808	0	0
I21	503244	419552	0.834	208458	26157	0	57535	0	0
I22	284230	255744	0.900	127088	13969	0	14517	0	0
I23	429392	344585	0.802	171574	20664	0	64143	0	0
I24	504794	441588	0.875	219649	24395	0	38811	0	0
J14	67948	26043	0.383	12979	19306	0	22599	0	0
J15	81812	33966	0.415	16854	23865	0	23981	0	0
J16	149872	49002	0.327	24246	35207	0	65663	0	0
J17	111844	46181	0.413	22849	31460	0	34203	0	0
J18	173980	68513	0.394	33906	48803	0	56664	0	0
J19	227996	95513	0.419	47360	68261	0	64222	0	0
J20	192876	81922	0.425	40539	56715	0	54239	0	0
J21	44350	18212	0.411	8976	13093	0	13045	0	0
J22	62144	23032	0.371	11525	17441	0	21671	0	0
J23	182444	76005	0.417	37658	53657	0	52782	0	0
J24	263042	112647	0.428	55711	77465	0	72930	0	0
J25	93512	38728	0.414	19252	27674	0	27110	0	0
J26	1106904	125229	0.113	62091	89340	0	892335	0	0
